ident,latitude_deg,longitude_deg,term
SVYG,7.4667,-68.45,z
PTKK,7.4619,151.843,z
SVJJ,7.4433,-67.7967,z
SVCV,7.4,-67.4333,z
SVJF,7.4,-67.9833,z
SVTB,7.4,-64.3667,z
SVTD,7.4,-69.0667,z
SVTF,7.4,-67.95,z
SVNF,7.3833,-68.8333,z
SYBR,7.3701,-60.488,z
DNIB,7.3625,3.9783,z
FKKN,7.357,13.5592,z
SVRG,7.35,-69.35,z
SVBJ,7.3217,-69.67,z
SVAM,7.3167,-69.2,z
SVWA,7.3167,-67.9083,z
FEGF,7.3141,18.3088,z
SVCX,7.3,-68.3667,z
SVEL,7.3,-61.8,z
SVOI,7.3,-68.0667,z
SVLY,7.2833,-68.5333,z
DNAK,7.2467,5.301,z
SVQJ,7.2333,-69.1,z
SVER,7.2167,-68.9833,z
SVFX,7.2133,-69.4967,z
SVLD,7.2033,-69.5367,z
SVFL,7.2,-68.1333,z
SVOW,7.2,-68.5167,z
SVYP,7.2,-69.3167,z
VTSH,7.1866,100.608,z
VCBI,7.1808,79.8841,z
SVLH,7.1667,-69.3833,z
SVXF,7.15,-69.25,z
SVPG,7.1333,-68.5833,z
SVVK,7.1333,-69.05,z
SVPD,7.1,-67.9,z
SVQB,7.05,-67.7667,z
SVRT,7.05,-68.5667,z
SVSQ,7.0333,-68.3333,z
ULDD,69.7633,61.5564,z
UOOO,69.3111,87.3322,z
UHMI,68.8683,-179.373,z
ULMM,68.7817,32.7508,z
CYEV,68.3042,-133.483,z
UOIC,68.0767,87.645,z
UEBW,67.5431,133.3988,z
PACX,67.2522,-150.204,z
ESNG,67.1324,20.8146,z
8AK3,66.766,-160.153,z
CAJ2,66.4911,-136.573,z
USMU,66.0694,76.5203,z
BIID,66.05,-23.6961,z
BIBK,66.0219,-14.8244,z
BIRS,65.9142,-22.4214,z
4Z2,65.9049,-163.329,z
BIAE,65.9047,-22.3633,z
BIKR,65.7317,-19.5728,z
AK98,65.6387,-167.486,z
BIGS,65.6325,-16.1483,z
