ident,latitude_deg,longitude_deg,term
XS35,28.7392,-96.2191,z
FD92,28.7328,-81.0787,z
3TA8,28.7197,-100.055,z
98FD,28.7169,-81.2331,z
FD98,28.7147,-81.2701,z
3TA9,28.7086,-100.007,z
KX04,28.7072,-81.5817,z
K20R,28.6978,-99.8178,z
K24R,28.6855,-99.1892,z
0XA5,28.6849,-98.3828,z
09FD,28.6711,-82.0873,z
51FD,28.6678,-81.9181,z
6FD2,28.6669,-81.0845,z
00FA,28.6455,-82.219,z
OPSU,28.6451,69.1769,z
06FD,28.6417,-81.885,z
HLGL,28.6385,21.438,z
FD78,28.6031,-81.8495,z
12FL,28.5928,-81.4039,z
01FA,28.5894,-81.1442,z
OISJ,28.5867,53.5791,z
69TX,28.5836,-96.8544,z
9TE4,28.5697,-96.6297,z
FA42,28.5329,-81.8467,z
5TS9,28.5303,-96.5275,z
89FL,28.5292,-81.4809,z
KCZT,28.5222,-99.8236,z
21FL,28.5086,-81.8003,z
HLBD,28.5033,19.0028,z
91FL,28.4792,-81.3676,z
OP31,28.4706,69.5991,z
0FL5,28.4586,-81.3497,z
72TA,28.4586,-96.2919,z
3FL1,28.4525,-82.2078,z
FA18,28.4511,-81.0003,z
GMAT,28.4482,-11.1613,z
RJKA,28.4306,129.713,z
KMCO,28.4294,-81.309,z
5FL0,28.4131,-82.2234,z
6FL0,28.4058,-81.8379,z
0XS0,28.4003,-99.5587,z
91TX,28.3969,-98.3628,z
OPRK,28.3839,70.2796,z
KBEA,28.3619,-97.791,z
OP13,28.3562,70.6002,z
TA84,28.355,-99.9332,z
VI70,28.3488,75.5937,z
KCOI,28.3416,-80.6855,z
HLWA,28.3224,19.93,z
RJKI,28.3213,129.928,z
99TX,28.3003,-99.567,z
OPJA,28.2842,68.4497,z
97TX,28.2836,-100.067,z
XS59,28.2808,-97.2114,z
OP33,28.274,69.276,z
1TS6,28.2694,-99.9345,z
2XS2,28.2628,-100.162,z
FD83,28.2586,-81.384,z
FL43,28.2581,-81.9306,z
34FA,28.2519,-80.6689,z
FD12,28.2503,-81.3915,z
1TE1,28.2503,-99.817,z
FD33,28.2117,-81.9987,z
57FA,28.2086,-81.1192,z
4FD7,28.2064,-81.8279,z
VNLT,28.2,85.583,z
VEAN,28.1753,94.802,z
FL35,28.175,-82.4878,z
79TA,28.1697,-98.89,z
72FL,28.1575,-81.2348,z
9TE5,28.1545,-96.9769,z
4FL9,28.1434,-81.647,z
59TS,28.1431,-98.1583,z
FD37,28.1372,-81.2634,z
9FD2,28.137,-82.1465,z
6TA9,28.117,-98.0447,z
8FA0,28.1086,-81.9587,z
VI69,28.1067,75.3756,z
XA66,28.075,-99.2864,z
79FD,28.042,-82.0923,z
FL42,28.0386,-81.7537,z
OP32,28.0361,69.6749,z
58FD,28.0142,-81.5406,z
VEDZ,27.9855,94.2228,z
2TX4,27.9836,-99.3767,z
FL72,27.9475,-82.3909,z
9FD0,27.9456,-81.4034,z
XS67,27.9445,-96.985,z
KX49,27.9334,-82.044,z
TE87,27.9158,-97.3203,z
0FD6,27.9075,-80.4864,z
FL78,27.8986,-82.1826,z
2FL8,27.8836,-81.3631,z
KT19,27.8836,-98.6003,z
4FL1,27.8628,-80.9581,z
TE62,27.8543,-97.6823,z
OP37,27.8131,69.1671,z
FD09,27.81,-80.8589,z
XS66,27.8039,-97.7436,z
K2RR,27.7822,-81.2053,z
6FD5,27.7786,-81.0998,z
3FL5,27.7783,-80.9219,z
FD46,27.7553,-81.514,z
52FL,27.7503,-81.5595,z
OPSK,27.722,68.7917,z
TX56,27.7155,-98.7025,z
FD77,27.712,-82.2829,z
FL95,27.7086,-80.4528,z
23FL,27.6844,-82.2442,z
HLSA,27.6624,22.5086,z
69TA,27.655,-97.5253,z
48X,27.6425,-82.5209,z
X52,27.6323,-80.5276,z
FL74,27.5986,-80.502,z
33FA,27.5981,-80.8459,z
83FD,27.5803,-80.8153,z
6FD7,27.5442,-82.5301,z
KLRD,27.5438,-99.4616,z
FL75,27.542,-80.8331,z
FD57,27.4698,-80.4164,z
67FL,27.4556,-82.105,z
13TS,27.4553,-98.9264,z
7FL8,27.4439,-80.5651,z
0TE5,27.4338,-99.1859,z
14TS,27.4217,-98.6045,z
FL00,27.4189,-81.8326,z
FD30,27.4114,-80.5262,z
9FL3,27.3969,-81.4267,z
MMCN,27.3926,-109.833,z
08FD,27.3631,-80.7728,z
03FA,27.3531,-81.4081,z
KHBV,27.3496,-98.737,z
4FL8,27.3437,-82.3173,z
FD88,27.342,-80.522,z
VYPT,27.3299,97.4263,z
FD70,27.3253,-81.0287,z
FL67,27.2778,-80.5859,z
KOBE,27.2628,-80.8498,z
HL70,27.2573,21.6181,z
FA60,27.2389,-81.3859,z
FL37,27.2384,-80.4914,z
32FA,27.2342,-80.9037,z
00FL,27.2309,-80.9692,z
FD24,27.2212,-80.5206,z
OIKB,27.2183,56.3778,z
OIBH,27.2127,54.3186,z
VI73,27.2083,73.7114,z
8FL1,27.197,-81.9156,z
8FD5,27.1889,-81.087,z
FD72,27.1828,-81.3906,z
64FA,27.1428,-80.3378,z
80FD,27.1134,-80.6334,z
VA2A,27.1129,72.389,z
7TE2,27.1059,-98.2058,z
FA24,27.0933,-80.6122,z
08FL,27.0845,-81.3287,z
FA64,27.0745,-81.5865,z
26FD,27.0512,-81.8481,z
20FL,27.0426,-82.0437,z
KX58,27.0364,-80.4401,z
3FD0,27.0217,-81.4512,z
FD15,26.9795,-80.2187,z
F13,26.9689,-81.9156,z
KAPY,26.9688,-99.2489,z
6FL3,26.9373,-81.567,z
47TX,26.9339,-97.7625,z
06FA,26.9084,-80.3289,z
FD96,26.8326,-81.0801,z
38XS,26.8152,-98.4793,z
FD20,26.8003,-81.4851,z
95FD,26.7683,-81.5389,z
OP17,26.7408,67.6666,z
VEGK,26.7397,83.4497,z
94FL,26.7328,-81.8973,z
17FA,26.7134,-81.5354,z
7FA8,26.6956,-81.4906,z
FL88,26.6837,-81.4498,z
VEBD,26.6812,88.3286,z
MM36,26.6785,-100.171,z
47FD,26.6628,-81.7706,z
1FA3,26.6562,-82.1212,z
FD38,26.6465,-80.2942,z
4FA3,26.6434,-82.1179,z
MM51,26.6356,-100.89,z
29FA,26.635,-81.875,z
7FD6,26.6226,-80.3053,z
OE52,26.6116,45.322,z
FA69,26.5878,-80.6373,z
FL86,26.5826,-82.0984,z
FL41,26.5812,-80.7559,z
08FA,26.5798,-81.4837,z
FA44,26.5481,-80.2148,z
KRSW,26.5362,-81.7552,z
VNVT,26.4815,87.264,z
1FD4,26.4454,-81.6073,z
K67R,26.4243,-98.8461,z
2FA4,26.3795,-80.9456,z
VYTN,26.367,96.733,z
6TE1,26.3615,-98.1525,z
OEZL,26.35,44.833,z
MM44,26.3044,-99.5502,z
VIGR,26.2933,78.2278,z
6TE0,26.2903,-97.9494,z
TS94,26.2512,-97.3008,z
VIJO,26.2511,73.0489,z
XS64,26.249,-97.565,z
KHRL,26.2285,-97.6544,z
0TS8,26.1504,-97.8836,z
53XS,26.1484,-97.5917,z
92TA,26.1212,-97.428,z
VEGT,26.1061,91.5859,z
VI76,26.0001,78.2618,z
OE54,25.9934,46.5367,z
MMLT,25.9892,-111.348,z
OPTU,25.9864,63.0302,z
KBRO,25.9068,-97.4259,z
VEMR,25.8839,93.7711,z
KMIA,25.7932,-80.2906,z
VEPU,25.7596,87.41,z
VGSD,25.7592,88.9089,z
VEBI,25.7036,91.9787,z
OPMP,25.6828,69.0728,z
VYLN,25.65,96.367,z
FA35,25.6195,-80.4887,z
OMRK,25.6135,55.9388,z
04FA,25.5587,-80.5151,z
FL31,25.5546,-80.5539,z
78FD,25.5465,-80.4656,z
OPKE,25.526,69.7718,z
4FD3,25.5153,-80.5135,z
HL79,25.3568,16.81,z
VYNP,25.3544,97.2952,z
VA1H,25.1415,74.6115,z
MYAN,25.0538,-78.049,z
42FL,24.9712,-80.5956,z
OE53,24.9421,46.3912,z
FA05,24.9349,-80.6009,z
OPMR,24.8936,66.9388,z
OPSF,24.8742,67.1185,z
OPTH,24.8415,68.8384,z
OPKF,24.729,67.5876,z
VILP,24.717,78.417,z
OEPF,24.7103,44.9645,z
VAUD,24.6177,73.8961,z
ZSAM,24.544,118.128,z
VGRJ,24.4372,88.6165,z
VA1N,24.4308,74.8678,z
VA1F,24.4023,81.8148,z
OEPI,24.2761,42.1437,z
OMAL,24.2617,55.6092,z
OMAM,24.2482,54.5477,z
VE41,24.2019,86.2898,z
HLKF,24.1787,23.314,z
VA1D,24.1252,83.0406,z
VYPL,24.083,95.367,z
OE51,24.0515,47.6542,z
RCYU,24.0231,121.618,z
VE54,24.0193,84.0951,z
MYX7,23.8864,-76.2537,z
MYX8,23.8503,-76.2282,z
VA1J,23.7536,78.8558,z
VE23,23.6315,86.9755,z
VEPH,23.4743,87.4275,z
VA2D,23.3814,75.0256,z
VERC,23.3143,85.3217,z
VA1O,23.2352,81.5037,z
VE85,23.0951,75.8853,z
VYMO,23.0925,96.6453,z
MUHA,22.9892,-82.4091,z
MUCY,22.8644,-82.8558,z
MUSG,22.8016,-80.0548,z
VGBR,22.801,90.3012,z
VYMI,22.483,98.033,z
VYTY,22.483,98.4,z
VAJM,22.4655,70.0126,z
MUCC,22.461,-78.3284,z
MMSP,22.2543,-100.931,z
MUMJ,22.2308,-79.0622,z
VYGG,22.1747,94.1344,z
MUCF,22.15,-80.4142,z
VYSL,22.1,95.017,z
RCLY,22.027,121.535,z
VE96,22.0016,78.9172,z
MUNG,21.8347,-82.7838,z
VYMD,21.7022,95.9779,z
VYHN,21.7,94.1,z
VGCB,21.4522,91.9639,z
MUCM,21.4203,-77.8475,z
VYXG,21.4067,94.1303,z
VYKU,21.4,94.1333,z
VYMP,21.35,99.033,z
OEJF,21.3481,39.173,z
MBSY,21.333,-71.2,z
VYKG,21.3016,99.636,z
VA1E,21.2942,81.3795,z
VYBG,21.1788,94.9302,z
VYSA,21.167,94.167,z
VYST,20.9417,95.9145,z
VYLY,20.9404,94.8226,z
VYNS,20.8905,97.7359,z
VYML,20.8864,95.8928,z
VYMH,20.833,99.95,z
MUHG,20.7856,-76.3151,z
VLOS,20.6827,101.994,z
MUMO,20.6539,-74.9222,z
VYMS,20.5168,99.2568,z
VE36,20.5117,83.4481,z
GQPA,20.5068,-13.0432,z
VYTL,20.4838,99.9354,z
OE46,20.4759,44.7575,z
MUBA,20.3653,-74.5062,z
VYMT,20.2967,98.8989,z
VEBS,20.2444,85.8178,z
VY02,20.1536,94.9687,z
SJLP,2.98,-60.0953,z
FKKW,2.876,11.185,z
HUGU,2.8056,32.2718,z
SJYG,2.765,-62.2214,z
SJYL,2.7369,-62.0194,z
SJMD,2.7228,-62.9503,z
SJQK,2.6956,-60.8142,z
SYLP,2.3939,-59.441,z
SJLH,2.1761,-59.7839,z
SJLS,2.1253,-59.8214,z
HCMM,2.0144,45.3047,z
SJYF,2.0078,-61.4758,z
VA1B,19.9947,79.2225,z
MUCU,19.9698,-75.8354,z
VLLB,19.8973,102.161,z
MDMC,19.8653,-71.6453,z
VAAU,19.8627,75.3981,z
MMCP,19.8168,-90.5003,z
VYLK,19.6915,97.2148,z
VLPV,19.4549,103.218,z
VYKP,19.4264,93.5348,z
MDST,19.4061,-70.6047,z
MDER,19.1848,-70.365,z
HSDN,19.1539,30.4301,z
VAJJ,19.0981,72.8342,z
VYTO,19.0313,96.4012,z
HSGO,18.867,28.117,z
MDSA,18.8255,-71.2314,z
VYPY,18.8245,95.266,z
VTCN,18.8079,100.783,z
VTCC,18.7668,98.9626,z
DRRI,18.6867,12.9192,z
MMCE,18.6537,-91.799,z
MDBE,18.5868,-69.0554,z
MDJB,18.5725,-69.9856,z
MDSI,18.5037,-69.7617,z
MDBC,18.4797,-68.9159,z
PR34,18.4578,-66.1211,z
TJIG,18.4568,-66.0981,z
MDBM,18.4481,-69.2812,z
PR03,18.3397,-65.6246,z
VTCL,18.2709,99.5042,z
TJMZ,18.2557,-67.1485,z
MDBH,18.2515,-71.1204,z
PR10,18.0107,-67.1413,z
MKTP,17.9886,-76.8238,z
VLVT,17.9883,102.563,z
X64,17.9822,-66.0193,z
PR24,17.9764,-67.1708,z
PR27,17.9632,-66.3912,z
MKJP,17.9357,-76.7875,z
MDCR,17.929,-71.6448,z
MM48,17.8801,-92.4757,z
VTPU,17.617,100.1,z
VYGW,17.6,94.5833,z
RPUQ,17.5553,120.356,z
VTUL,17.4391,101.722,z
VTUD,17.3864,102.788,z
TKPK,17.3112,-62.7187,z
VA1M,17.2859,74.1581,z
VTPO,17.238,99.8182,z
TKPN,17.2057,-62.5899,z
GVAN,17.2028,-25.0906,z
VTUI,17.1951,104.119,z
OOSA,17.0387,54.0913,z
OO42,16.9904,53.3588,z
DRZA,16.966,8.0001,z
VYYY,16.9073,96.1332,z
OYRT,16.733,44.35,z
GQNA,16.7113,-9.6379,z
VTPM,16.6999,98.5451,z
VTUZ,16.6522,102.967,z
GQNE,16.6333,-14.2,z
VLSK,16.5566,104.76,z
VTUK,16.4666,102.784,z
DSG,16.4458,122.2068,z
VYMM,16.4447,97.6607,z
GVBA,16.1365,-22.8889,z
MHIR,15.9392,-85.1372,z
MHCB,15.8883,-84.7556,z
MHJE,15.8781,-84.7264,z
MHCI,15.8319,-85.0269,z
MHSI,15.8186,-85.1144,z
MHPA,15.8014,-84.2967,z
MHAY,15.7353,-84.5433,z
MHSN,15.6933,-85.9553,z
MHMS,15.6728,-84.8447,z
MHOT,15.6692,-85.1944,z
MHMN,15.653,-87.0877,z
MHEI,15.6486,-87.7883,z
MHRH,15.5633,-86.1914,z
GO66,15.5439,-14.9583,z
MHWS,15.4819,-84.4161,z
MHUH,15.4761,-83.9113,z
MHWW,15.4161,-84.4736,z
HSKA,15.3875,36.3288,z
MHWR,15.3486,-84.2344,z
HHAS,15.2919,38.9107,z
MHYX,15.2775,-83.8203,z
MHCO,15.2528,-84.2333,z
MHWP,15.2131,-84.0686,z
MHSX,15.1836,-84.3697,z
GQNS,15.1797,-12.2073,z
MHTB,15.175,-83.6822,z
VOBI,15.1628,76.8828,z
MHWD,15.1592,-84.5983,z
GVMA,15.1559,-23.2137,z
VLPS,15.1321,105.781,z
MHRY,15.0664,-83.2972,z
MHLZ,15.0167,-88.8,z
MHTI,15.0011,-83.7222,z
MHUC,14.9372,-83.8442,z
MHMT,14.9156,-86.3817,z
MHUL,14.9072,-87.2634,z
MHLJ,14.8947,-86.5747,z
GOTB,14.8473,-12.4683,z
MHJQ,14.8389,-86.9622,z
MHGC,14.8386,-85.8683,z
MHJO,14.8047,-86.9192,z
MHIN,14.7886,-87.3497,z
MHRD,14.7872,-84.3697,z
MHGY,14.7847,-86.8633,z
MHHE,14.755,-86.0042,z
MHGB,14.7467,-87.3753,z
MHAN,14.7458,-87.4053,z
MHAU,14.7178,-86.5708,z
MHRR,14.7131,-84.4525,z
MHEN,14.6619,-86.915,z
MHJU,14.6526,-86.2203,z
MHLS,14.6447,-86.0698,z
MHUY,14.6269,-88.8764,z
MHHG,14.5989,-86.4608,z
MHFA,14.5981,-86.4839,z
MHPS,14.5958,-86.15,z
MHAL,14.4933,-87.1064,z
MHLI,14.4875,-87.1797,z
MHEC,14.4578,-87.0586,z
MHAZ,14.4333,-86.0892,z
GA1A,14.4313,-11.4397,z
MHLF,14.4233,-87.1197,z
MHMO,14.4131,-88.9519,z
MHZA,14.2569,-88.3925,z
DRZN,14.251,13.129,z
MHVE,14.2303,-88.7994,z
DFOY,14.217,-0.883,z
MHTA,14.18,-87.35,z
GOOK,14.1469,-16.0513,z
MHFN,14.1133,-86.9528,z
MHLA,14.1089,-88.5339,z
VYDW,14.1039,98.2036,z
MHLT,14.0767,-86.8417,z
MHRA,14.0736,-86.91,z
MHRJ,14.061,-86.4075,z
MNPC,14.0472,-83.3867,z
MHNB,14.0433,-86.4208,z
MHLP,14.0342,-88.6283,z
MHAP,14.0108,-86.3892,z
VVPK,14.0045,108.017,z
MNRT,13.8897,-84.4089,z
MHEL,13.8731,-86.5606,z
MHSJ,13.8278,-86.8103,z
DRZR,13.779,8.9838,z
DFCI,13.767,-2.083,z
VDRK,13.73,106.987,z
VTBS,13.6811,100.747,z
VOTP,13.6325,79.5433,z
HSFS,13.6149,25.3246,z
RPUN,13.5849,123.27,z
RPUV,13.5764,124.206,z
MSLM,13.4871,-89.1927,z
MSAC,13.448,-88.1201,z
RPUW,13.361,121.826,z
DFCU,13.2,-2.367,z
MSSN,13.1975,-87.9609,z
MHML,13.1794,-87.1856,z
VOYK,13.1355,77.606,z
MNES,13.1117,-86.3633,z
MHBE,13.1019,-87.1419,z
MNJG,13.0857,-85.9877,z
GOTS,13.0468,-13.2954,z
HAMM,12.933,36.167,z
DNSO,12.9163,5.2072,z
MNDM,12.8005,-86.1483,z
VTBU,12.6799,101.005,z
VO95,12.6613,77.7672,z
GOTK,12.5723,-12.2203,z
HSGG,12.533,35.067,z
MNCT,12.4789,-87.1772,z
MNBC,12.4691,-85.6626,z
VYME,12.4398,98.6215,z
VTBN,12.4172,99.8694,z
GAKO,12.383,-5.467,z
RPUH,12.3615,121.047,z
DFCT,12.2,-2.583,z
DFEK,12.167,-0.3,z
DFOF,12.15,-3.183,z
MNMG,12.1415,-86.1682,z
HDOB,11.967,43.267,z
GGOV,11.8948,-15.6537,z
DNMA,11.8553,13.0809,z
DFEC,11.7,0.15,z
RPVR,11.5977,122.752,z
DFEY,11.517,0.05,z
MNRS,11.4277,-85.8385,z
PKMA,11.3407,162.328,z
SVMM,11.2667,-70.25,z
BJE,11.1994,28.5231,z
SVSX,11.175,-68.4217,z
DFOO,11.1601,-4.331,z
HSLI,11.138,29.7011,z
SVOB,11.05,-68.4833,z
SVSF,11.05,-68.385,z
SVBH,10.9417,-68.2667,z
DN54,10.9199,11.5012,z
MRMC,10.9167,-85.7167,z
SVMG,10.9126,-63.9666,z
SVHH,10.8081,-69.6384,z
MRHH,10.8,-84.3667,z
MRLG,10.8,-84.9167,z
SVPB,10.7839,-68.3437,z
SVRC,10.7833,-68.55,z
SVLN,10.7267,-68.3335,z
SVHP,10.7133,-69.2083,z
DNKA,10.696,7.3201,z
MRGT,10.6833,-84.8333,z
MRLV,10.6812,-85.5281,z
MRCL,10.6672,-85.5114,z
DFOS,10.667,-4.267,z
DN53,10.5989,7.4487,z
SVMJ,10.5983,-68.535,z
SVEF,10.595,-68.495,z
SVGI,10.5741,-62.3127,z
SVRA,10.5717,-62.9923,z
MRLT,10.567,-85.6,z
MRHO,10.5667,-84.15,z
SVQX,10.5667,-70.1333,z
MRIS,10.5583,-83.9741,z
SVVV,10.5402,-68.2454,z
MREO,10.5333,-83.85,z
MRAT,10.5167,-84.3667,z
MRCI,10.5167,-85.35,z
SVPY,10.49,-68.175,z
MRPN,10.4867,-85.4142,z
MRLZ,10.4836,-85.462,z
SVWB,10.4795,-68.4728,z
MRCO,10.4536,-85.5582,z
FKKL,10.4514,14.2574,z
MRHG,10.45,-84.0833,z
MRHS,10.45,-83.6667,z
MRFP,10.4474,-84.369,z
SVRO,10.4367,-63.9167,z
MRLN,10.4207,-85.472,z
MRFL,10.4186,-85.7827,z
MRSP,10.4179,-83.753,z
SVBR,10.4167,-68.6667,z
MRDC,10.3515,-83.6305,z
MRYT,10.3333,-83.6667,z
SVAE,10.3281,-72.481,z
MRRF,10.3274,-83.8876,z
MRRH,10.3167,-85.3333,z
SVSL,10.3167,-66.3,z
SVVS,10.3167,-72.3,z
MRPS,10.3156,-85.678,z
MRTL,10.3084,-85.4684,z
MRRX,10.3082,-83.7543,z
SVSU,10.3022,-72.0522,z
MRER,10.3003,-84.4501,z
SVNG,10.2833,-72.4667,z
MRSC,10.2738,-85.5915,z
MRLA,10.2667,-85.4333,z
SVVQ,10.2428,-70.5018,z
FEFI,10.2364,22.7169,z
MRBM,10.2195,-83.5845,z
SVEP,10.2067,-67.4417,z
SVTJ,10.1579,-68.8616,z
SVGR,10.153,-68.3752,z
SVHC,10.15,-72.1833,z
SVVA,10.1497,-67.9284,z
MRBB,10.1333,-83.5833,z
SVEK,10.1136,-72.5766,z
SVSW,10.1022,-68.0833,z
SV75,10.0883,-72.5548,z
MRCZ,10.0876,-84.1695,z
MRBN,10.0833,-83.3167,z
MRMA,10.0833,-85.2667,z
SVLW,10.0683,-68.0217,z
MRLL,10.0667,-83.5833,z
VYKT,10.0493,98.538,z
SVAH,10.0333,-69.1667,z
HASO,10.0185,34.5863,z
SJNE,1.99,-59.9572,z
SVSC,1.9167,-67.05,z
VRMK,1.8592,73.5219,z
SJLU,1.7408,-62.2864,z
HUSO,1.7277,33.6228,z
FOGO,1.5431,11.5814,z
SWUK,1.2164,-69.2006,z
SWKU,1.1206,-66.8418,z
WAMD,1.117,127.483,z
WIOI,1.0757,109.688,z
SJYK,1.0711,-62.2183,z
WIOB,0.8333,109.4833,z
SWMK,0.6283,-66.1151,z
HKWE,0.617,34.783,z
SJLJ,0.5972,-59.2217,z
FOOK,0.5792,12.8909,z
HKEL,0.4045,35.2389,z
FZIK,0.333,25.5,z
SWEO,0.2097,-61.55,z
SWTR,0.1247,-68.5456,z
CYLT,82.5178,-62.2806,z
BGMI,81.6013,-16.6793,z
CJQ6,81.4094,-76.8679,z
UODN,80.8032,47.6636,z
CYEU,79.9947,-85.8142,z
UODS,79.5283,91.075,z
ENAS,78.9275,11.8743,z
ENSB,78.2461,15.4656,z
UODL,77.712,104.24,z
BGQQ,77.4886,-69.3887,z
BGDH,76.7667,-18.6667,z
BGTL,76.5312,-68.7032,z
CYGZ,76.4258,-82.9086,z
CYRB,74.7169,-94.9694,z
UODD,73.5178,80.3797,z
CYAB,73.0061,-85.0462,z
BGUK,72.7902,-56.1306,z
CYIO,72.6895,-77.9689,z
BGMV,72.2369,-23.9319,z
CYSY,71.9939,-125.243,z
UERS,71.9279,114.08,z
UEST,71.6977,128.903,z
PABR,71.2854,-156.766,z
USDA,71.2192,72.0522,z
ENMH,71.0297,27.8267,z
ENHV,71.0097,25.9836,z
UHMZ,70.9454,-179.5,z
ENJA,70.9441,-8.6521,z
PALN,70.9111,-153.2378,z
ENBV,70.8715,29.0341,z
UEBG,70.8083,133.5059,z
CYHI,70.7628,-117.806,z
UESZ,70.7463,136.1793,z
BGCO,70.7431,-22.6505,z
BGUQ,70.7342,-52.6962,z
UESR,70.7261,139.2358,z
ENHF,70.6797,23.6686,z
PAWI,70.638,-159.995,z
UESO,70.6231,147.902,z
PAWT,70.6134,-159.86,z
ENBS,70.6003,29.6926,z
UEBK,70.5957,134.5093,z
OLI,70.4952,-149.8871,z
ENHK,70.4867,22.1397,z
CYCY,70.4861,-68.5167,z
PATQ,70.467,-157.436,z
AK20,70.4206,-150.8867,z
AK11,70.4014,-148.6826,z
ENSS,70.3554,31.0449,z
PALP,70.3443,-150.945,z
USDB,70.3153,68.3336,z
2AK8,70.2935,-161.9072,z
PAQT,70.21,-151.006,z
PASC,70.1947,-148.465,z
FXM,70.1895,-146.0209,z
AA50,70.1811,-146.3504,z
PABU,70.171,-146.8449,z
PAAD,70.136,-146.29,z
PABA,70.134,-143.582,z
ENNA,70.0688,24.9735,z
ENVD,70.0653,29.8447,z
UEBT,70.011,135.645,z
ENAT,69.9761,23.3717,z
ENSR,69.7868,20.9594,z
UHMP,69.7833,170.597,z
PPIZ,69.7329,-163.005,z
ENKR,69.7258,29.8913,z
ENTC,69.6833,18.9189,z
KRK1,69.6768,-146.9002,z
CYYH,69.5467,-93.5767,z
CYUB,69.4333,-133.026,z
DPT,69.3925,139.89,z
UROD,69.375,86.1567,z
PAUM,69.3711,-152.136,z
CYGT,69.3647,-81.8161,z
CYPC,69.3608,-124.0755,z
CEW8,69.35,-124.067,z
ENAN,69.2925,16.1442,z
BGJN,69.2432,-51.0571,z
CJD7,69.1222,-105.021,z
CYCB,69.1081,-105.138,z
USDI,69.0929,76.861,z
ENDU,69.0558,18.5404,z
ENKA,69.0403,23.034,z
PALU,68.8751,-166.11,z
ULDW,68.8485,58.2014,z
CYUX,68.7761,-81.2425,z
ULDT,68.7642,61.4187,z
UESS,68.7406,161.338,z
BGAA,68.7218,-52.7847,z
EFJP,68.7114,25.7528,z
UESX,68.6767,151.8738,z
CYHK,68.6356,-95.8497,z
EFIV,68.6073,27.4053,z
ENSK,68.5788,15.0334,z
UESG,68.5562,146.2278,z
CYBB,68.5357,-89.8055,z
UERO,68.515,112.48,z
ENEV,68.4913,16.6781,z
PAGB,68.4797,-149.49,z
USDK,68.4677,73.5967,z
UESH,68.4433,153.3622,z
UESY,68.401,145.0944,z
UEMN,68.3723,143.6197,z
UEDK,68.3634,144.5173,z
EFET,68.3626,23.4243,z
PAPO,68.3488,-166.799,z
CEE3,68.3233,-133.6294,z
ENSH,68.2433,14.6692,z
CYKD,68.2233,-135.006,z
CER6,68.2225,-134.992,z
UZM,68.156,-106.618,z
ENLK,68.1525,13.6094,z
EFPA,68.1502,25.8294,z
PAKP,68.1336,-151.743,z
CDL7,68.1253,-106.5853,z
PARC,68.1147,-145.579,z
EFVU,68.0872,27.1239,z
UEKY,68.0768,145.9851,z
5CD,68.0734,-149.5777,z
UESV,68.0573,151.7963,z
PADG,68.0321,-162.899,z
ENEN,67.9672,14.9925,z
UESL,67.8481,154.8389,z
UHMK,67.845,166.14,z
UHDW,67.8387,-175.8494,z
ESNQ,67.822,20.3368,z
CYCO,67.8164,-115.1431,z
UEBS,67.792,130.394,z
UEKG,67.7657,144.5091,z
ESUK,67.7648,20.2572,z
PAVL,67.7346,-164.5599,z
EFKT,67.701,24.8468,z
UEBB,67.648,134.695,z
ULAM,67.64,53.1219,z
EFAA,67.6036,23.9717,z
CYOC,67.5706,-139.839,z
PAWN,67.5612,-162.9805,z
CYVM,67.5466,-64.0314,z
ENRS,67.5265,12.1016,z
PALR,67.5045,-148.483,z
UEMC,67.4898,152.5757,z
UUYW,67.4886,63.9931,z
USDT,67.4842,78.6444,z
UESK,67.4805,153.7364,z
CES6,67.45,-133.75,z
UOII,67.4372,86.6219,z
ULEH,67.4167,58.0448,z
CZFM,67.407,-134.8602,z
WSM,67.4046,-150.123,z
EFSO,67.395,26.6191,z
1AK1,67.3729,-152.016,z
ENBO,67.2692,14.3653,z
UEWD,67.2672,130.5319,z
UHEI,67.2553,167.9492,z
ESUP,67.2446,23.0749,z
UESC,67.1202,156.5898,z
PAFM,67.1055,-157.8553,z
ENRG,67.0983,15.4111,z
CED7,67.05,-126.1,z
ULEK,67.0274,51.1148,z
CYVL,67.02,-126.126,z
BGSF,67.0104,-50.7153,z
PAVE,67.0087,-146.366,z
PAIK,66.9761,-160.439,z
BGSS,66.9513,-53.7293,z
DCK,66.9433,-156.905,z
PABT,66.9139,-151.529,z
PAOB,66.9123,-156.897,z
UHEK,66.9017,169.56,z
PAGH,66.8881,-157.162,z
PAOT,66.8847,-162.599,z
USDR,66.8535,70.8474,z
ULER,66.8461,59.5393,z
UOIG,66.84,88.4033,z
PFNO,66.8179,-161.019,z
PAPR,66.8141,-150.644,z
UEVV,66.7965,123.361,z
UEDB,66.7949,142.7274,z
UUYN,66.7151,52.2929,z
EFKM,66.7129,27.1568,z
CES9,66.708,-119.686,z
CFF4,66.7031,-119.7168,z
ULMA,66.697,34.387,z
CHC5,66.6556,-91.545,z
ULJM,66.6525,46.5076,z
PACI,66.645,-143.74,z
ULJI,66.6373,45.9062,z
PASK,66.6001,-159.986,z
USDD,66.5908,66.611,z
PFYU,66.5717,-145.25,z
EFRO,66.5648,25.8304,z
PFAL,66.5518,-152.622,z
BIGR,66.5458,-18.0173,z
ESNE,66.5291,22.3563,z
CYUT,66.521,-86.2252,z
ESNJ,66.4962,20.1472,z
UEMA,66.4509,143.2616,z
